Institution Name,GA,Latitude,Longitude,IPEDS code,City,State,Zipcode,MSI Type,Country,State,,,
Adams State University,ECMC,37.4703,-105.8786,126182,Alamosa,CO,81101,,United States,Colorado,Alamosa,37.4703,-105.8786
Allen University,ECMC,34.026,-81.0046,217624,Columbia,SC,29204,HBCU,United States,South Carolina,Columbia,34.026,-81.0046
Benedict College,ECMC,34.026,-81.0046,217721,Columbia,SC,29204,HBCU,United States,South Carolina,Columbia,34.026,-81.0046
Bennett College,ECMC,36.0697,-79.7682,197993,Greensboro,NC,27401,HBCU,United States,North Carolina,Greensboro,36.0697,-79.7682
Berkeley City College,ECMC,37.8664,-122.257,125170,Berkeley,CA,94704,,United States,California,Berkeley,37.8664,-122.257
City Colleges of Chicago-Harold Washington College,ECMC,41.8858,-87.6181,144209,Chicago,IL,60601,,United States,Illinois,Chicago,41.8858,-87.6181
City Colleges of Chicago-Harry S Truman College,ECMC,41.9719,-87.6624,144184,Chicago,IL,60640,,United States,Illinois,Chicago,41.9719,-87.6624
City Colleges of Chicago-Kennedy-King College,ECMC,41.775,-87.6421,144157,Chicago,IL,60621,,United States,Illinois,Chicago,41.775,-87.6421
City Colleges of Chicago-Malcolm X College,ECMC,41.8805,-87.6873,144166,Chicago,IL,60612,,United States,Illinois,Chicago,41.8805,-87.6873
City Colleges of Chicago-Olive-Harvey College,ECMC,41.6934,-87.6243,144175,Chicago,IL,60628,,United States,Illinois,Chicago,41.6934,-87.6243
City Colleges of Chicago-Richard J Daley College,ECMC,41.7454,-87.7135,144193,Chicago,IL,60652,,United States,Illinois,Chicago,41.7454,-87.7135
City Colleges of Chicago-Wilbur Wright College,ECMC,41.9463,-87.8061,144218,Chicago,IL,60634,,United States,Illinois,Chicago,41.9463,-87.8061
Claflin University,ECMC,33.5025,-80.8593,217873,Orangeburg,SC,29115,HBCU,United States,South Carolina,Orangeburg,33.5025,-80.8593
Clinton College,ECMC,34.9151,-81.0129,217891,Rock Hill,SC,29730,HBCU,United States,South Carolina,Rock Hill,34.9151,-81.0129
College of Alameda,ECMC,37.7706,-122.2648,108667,Alameda,CA,94501,,United States,California,Alameda,37.7706,-122.2648
